label,sim_id,final_status,omega_ratio,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
cost_only,sw-axis1pareto-costo-f8fa9539,"all models terminated successfully, the simulation has been terminated",0.0,285283021.01764643,269639178.9049373,15643842.112708984,107460.13973383243,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,26073.0701878483,10429.228075139315,1462992.1391957127,55031.27418549319,1483616.5,1075187.1126414079,512278.04286747705,125941.15578139847,1145.0,0.0,0.0,1.0,815386.4636183046,1.0,0.03709265445989121,55.73416573971255,0.586686477134622,1483616.5,192.2889244071136,223.7944862375921,570761.8289310373,0.03850648621760911
p_dominant,sw-axis1pareto-pdomi-45447b18,"all models terminated successfully, the simulation has been terminated",0.1,284696012.82999843,269795199.9689611,14900812.861037504,107002.40173443849,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24834.688101729167,9933.875240691665,1463664.2824117637,55031.27418549319,1483616.5,1050810.9359961012,500248.8486758988,127414.55545952152,1026.0,0.0,0.0,1.0,815962.3878988881,1.0,0.03709265445989121,55.74791963594138,0.587074666589635,1483616.5,191.89326408138385,223.7944862375921,592263.5622125773,0.03943242937884375
p_strong,sw-axis1pareto-pstro-746847f1,"all models terminated successfully, the simulation has been terminated",0.33,284170294.0511793,269438309.2789411,14731984.77223824,106494.71204094528,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24553.307953730397,9821.323181492155,1461386.925668166,55031.27418549319,1483616.5,1005887.5897930618,479033.9888255557,125984.82976792594,1050.0,0.0,0.0,1.0,815665.7942612105,1.0,0.03709265445989121,55.814499222256075,0.5868747539857528,1483616.5,191.53891457204693,223.7944862375921,616111.7207524657,0.04117876363141254
balanced,sw-axis1pareto-balan-15dea51a,"all models terminated successfully, the simulation has been terminated",1.0,283743581.60423154,268808284.0947833,14935297.509448318,106497.02039353496,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24892.162515747197,9956.865006298873,1458826.6279081088,55031.27418549319,1483616.5,963013.5580482555,458574.86559187254,125909.41058693556,1006.0,0.0,0.0,1.0,815690.2419554583,1.0,0.03709265445989121,55.91413169672678,0.5868912324316639,1483616.5,191.2512981651468,223.7944862375921,616003.2884576403,0.04301593671471794
c_strong,sw-axis1pareto-cstro-2a2b8464,"all models terminated successfully, the simulation has been terminated",3.0,283899243.2882448,268682704.34808236,15216538.94016219,106602.7367201346,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25360.898233603653,10144.359293441461,1454057.0466028487,55031.27418549319,1483616.5,893670.730519836,425589.1804030959,124624.90647737235,1004.0,0.0,0.0,1.0,812597.1285937141,1.0,0.03709265445989121,55.88481762061578,0.5848063854636338,1483616.5,191.35621859708678,223.7944862375921,611037.3816265285,0.046349926890944006
c_dominant,sw-axis1pareto-cdomi-2d186465,"all models terminated successfully, the simulation has been terminated",10.0,283665837.89145416,267836997.94425023,15828839.94720336,107119.51118814517,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,26381.399912005607,10552.559964802238,1455313.536574328,55031.27418549319,1483616.5,940501.8699090303,448131.89416078053,124731.92616151556,1033.0,0.0,0.0,1.0,815131.3885236938,1.0,0.03709265445989121,56.01070614944164,0.5865145492175282,1483616.5,191.19889667677202,223.7944862375921,586762.4759106276,0.044018351860898745
carbon_only,sw-axis1pareto-carbo-be41bc66,"all models terminated successfully, the simulation has been terminated",inf,284031301.1765326,267641819.78127754,16389481.395255059,107828.3387593109,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27315.802325425113,10926.320930170037,1454229.1772362518,55031.27418549319,1483616.5,957151.0202447897,456246.1624620595,121655.74466359103,1030.0,0.0,0.0,1.0,814340.2156921834,1.0,0.03709265445989121,55.99806608473011,0.5859812760761804,1483616.5,191.44522939488246,223.7944862375921,553466.0893358036,0.043235492197483745
