label,sim_id,final_status,objective,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
min_carbon,sw-axis11singleobj-m-f6027e9e,"all models terminated successfully, the simulation has been terminated",min_carbon,269561635.9381105,269561635.9381105,0.0,101099.54747914747,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1530909.8445794752,55031.27418549319,1483616.5,1631503.302200583,773933.3119282009,0.0,1081.0,0.0,nan,1.0,867137.4810763032,1.0,0.03709265445989121,56.64196909743543,0.6215681446396669,1483616.5,181.6922607278299,192.7796719725228,-1056793.56510046,0.025488019566071204
min_cost,sw-axis11singleobj-m-e5ed27f3,"all models terminated successfully, the simulation has been terminated",min_cost,274917219.08375144,274917219.08375144,0.0,99601.32603110322,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1541055.4132046965,55031.27418549319,1483616.5,1730463.9150583812,820747.8124050131,0.0,1094.0,0.0,nan,1.0,861517.2715026481,1.0,0.03709265445989121,55.904366846295474,0.617779962468833,1483616.5,185.302077109382,192.7796719725228,-986416.2793711058,0.02403421257920588
max_availability,sw-axis11singleobj-m-63150405,"all models terminated successfully, the simulation has been terminated",max_availability,286064912.1635901,286064912.1635901,0.0,102207.70965850409,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1429351.633709825,55031.27418549319,1483616.5,1902.5,902.5,0.0,168.0,0.0,nan,1.0,764109.5204610851,1.0,0.03709265445989121,53.45847043095122,0.552124349282027,1483616.5,192.81594142663556,192.7796719725228,-1108848.250629659,21.857094068986456
