label,sim_id,final_status,backup_mw,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
bk_0MW,sw-axis4backup-bk0mw-8921830c,"all models terminated successfully, the simulation has been terminated",0.0,267717926.72589278,267717926.72589278,0.0,96960.95643316643,25990.46929692227,316430910.81296146,132820.65251389975,25990.469296922267,250874322.0327117,89116.25999373384,135251.45059733768,0.0,0.0,1455600.2351612702,55031.27418549319,1483616.5,960218.9505934542,457753.82189836,122310.96877715454,988.0,0.0,0.0,1.0,815298.4442948753,1.0,0.03709265445989121,56.011150905354576,0.5866271495904558,1457626.0307030778,183.6670868156495,217.086484563076,575599.9318066211,0.04309309164356963
bk_2MW,sw-axis4backup-bk2mw-ec52e8de,"all models terminated successfully, the simulation has been terminated",2.0,283877308.51403433,267576619.1213468,16300689.392687496,107896.2463875919,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27167.815654479175,10867.126261791662,1454886.6434693101,55031.27418549319,1483616.5,961371.2249266398,458061.16828409483,122481.56593650463,1000.0,0.0,0.0,1.0,814645.6174692744,1.0,0.03709265445989121,55.99375189304629,0.5861871256182225,1483616.5,191.3414339312311,223.7944862375921,550276.2040454987,0.043064177369922706
bk_5MW,sw-axis4backup-bk5mw-c9bda2ee,"all models terminated successfully, the simulation has been terminated",5.0,284218691.02028334,268004416.4601554,16214274.560128048,107875.62981582567,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27023.790933546756,10809.516373418695,1455567.076687993,55031.27418549319,1483616.5,964852.3956230225,459742.8729766915,121582.12128075885,994.0,0.0,0.0,1.0,814330.8278469067,1.0,0.03709265445989121,55.94594992488017,0.5859749483996707,1483616.5,191.57153551492812,223.7944862375921,551244.6445679904,0.04290665186289982
bk_10MW,sw-axis4backup-bk10m-e1ff161b,"all models terminated successfully, the simulation has been terminated",10.0,283615557.5730479,267578349.21487048,16037208.358176967,107563.41793921443,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,26728.68059696162,10691.472238784643,1454596.2532463572,55031.27418549319,1483616.5,957923.1556078306,456765.5949712179,121990.80941229839,989.0,0.0,0.0,1.0,814738.5097271437,1.0,0.03709265445989121,56.01131639854127,0.5862497376597233,1483616.5,191.165006302537,223.7944862375921,565910.4501316805,0.04318632492121756
