label,sim_id,final_status,capacity_mwh,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
bess_0MWh,sw-axis2bess-bess0mw-8c4bbfdb,"all models terminated successfully, the simulation has been terminated",0.0,332025192.39111453,250874322.0327117,81150870.35840249,143216.84023266856,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,135251.45059733768,54100.580238935,1293333.7752171673,55031.27418549319,1483616.5,0.0,0.0,0.0,199.0,0.0,0.0,1.0,711898.1306982858,1.0,0.03709265445989121,55.04365109298634,0.5169323776621377,1483616.5,223.79448623759208,223.7944862375921,-2.7342401145651396e-09,nan
bess_1MWh,sw-axis2bess-bess1mw-18ccd619,"all models terminated successfully, the simulation has been terminated",1.0,308144674.903197,261826662.02463478,46318012.87856269,123971.54686253896,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,77196.6881309378,30878.675252375113,1356307.5415834507,55031.27418549319,1483616.5,472340.4682323867,234032.0697057951,60786.87324960401,961.0,0.0,0.0,1.0,748661.8051190521,1.0,0.03709265445989121,55.19852851699184,0.5417121468415492,1483616.5,207.69833370227212,223.7944862375921,626808.8961092588,0.021071927687152162
bess_2MWh,sw-axis2bess-bess2mw-26e7705c,"all models terminated successfully, the simulation has been terminated",2.0,298215625.98474663,265166068.6432297,33049557.341516588,117211.48138070016,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,55082.595569194265,22033.038227677724,1400253.6815059034,55031.27418549319,1483616.5,698430.9488136166,338596.74967240886,86367.70097975167,1028.0,0.0,0.0,1.0,776962.6083934956,1.0,0.03709265445989121,55.487274817082486,0.5607876985588856,1483616.5,201.00587044208973,223.7944862375921,667138.1021584489,0.029129085580923524
bess_4MWh,sw-axis2bess-bess4mw-737b6c17,"all models terminated successfully, the simulation has been terminated",4.0,283885517.7038289,267859503.94878703,16026013.75504197,107863.142729024,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,26710.02292506996,10684.009170027979,1455563.79399278,55031.27418549319,1483616.5,959228.1164243779,457125.6966620857,121554.84245402014,1012.0,0.0,0.0,1.0,814951.2130861559,1.0,0.03709265445989121,55.98869774375539,0.5863931058138334,1483616.5,191.34696716019866,223.7944862375921,551831.2115784384,0.04315230480653126
bess_8MWh,sw-axis2bess-bess8mw-78738d2c,"all models terminated successfully, the simulation has been terminated",8.0,273275956.51172453,265450600.68343678,7825355.828287626,101376.49795315106,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,13042.25971381271,5216.903885525086,1484236.2767595279,55031.27418549319,1483616.5,1157803.1642607062,549426.5468176467,143760.31397531915,881.0,0.0,0.0,1.0,843626.9322822687,1.0,0.03709265445989121,56.8391263232108,0.6057213615969907,1483616.5,184.1958191431037,223.7944862375921,-252335.2637262648,0.0718058765508005
bess_16MWh,sw-axis2bess-bess16m-950362b1,"all models terminated successfully, the simulation has been terminated",16.0,260534115.7685782,259016789.12900802,1517326.6395701794,95917.92371162033,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,2528.8777326169647,1011.5510930467859,1513920.588997265,55031.27418549319,1483616.5,1350637.9116746923,636960.8229109321,160077.0836851159,792.0,0.0,0.0,1.0,881098.4942714766,1.0,0.03709265445989121,58.19978278088326,0.6309782672658129,1483616.5,175.6074536570456,223.7944862375921,-2213663.6058060937,0.12387592258570425
