label,sim_id,final_status,pv_mw,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
pv_0kW,sw-axis3pv-pv0kw-7655f679,"all models terminated successfully, the simulation has been terminated",0.0,294375795.3785337,275322013.72267926,19053781.655854385,112452.39280526027,0.0,346028000.75000006,150735.04571749968,0.0,257716200.75,91860.51238416646,147186.33333333314,31756.302759757313,12702.521103902936,1498706.8892505423,0.0,1483616.5,957489.2332959395,458031.2418718102,127693.7750684093,1001.0,0.0,0.0,1.0,842697.5785700065,1.0,0.0,56.228311527373705,0.5680022961257215,1483616.5,198.41771467123326,233.2327800007617,689415.6333929185,0.04306699105643327
pv_500kW,sw-axis3pv-pv500kw-01cc23fa,"all models terminated successfully, the simulation has been terminated",0.5,289379870.6608987,271824239.84702706,17555630.813871592,110198.49834562077,0.0,338960848.6191873,146927.6889826839,0.0,254315913.8273758,90497.73245481009,141074.8913196852,29259.38468978598,11703.753875914397,1478263.0777340846,27515.637092746594,1483616.5,964930.7459783006,460479.8689584796,126278.78834199118,1010.0,0.0,0.0,1.0,829014.1606776192,1.0,0.018546327229945606,56.08028592233738,0.5773256079117249,1483616.5,195.05031836791966,228.46931711745407,616443.4712652377,0.04283797995746677
pv_1000kW,sw-axis3pv-pv1000kw-09c07dae,"all models terminated successfully, the simulation has been terminated",1.0,284091426.0526586,267814143.9840907,16277282.06856769,108036.84556027855,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27128.80344761282,10851.521379045123,1455364.3658196512,55031.27418549319,1483616.5,961268.6113346893,457940.6735650117,122254.68627240286,991.0,0.0,0.0,1.0,814411.8892481695,1.0,0.03709265445989121,55.959312209042466,0.5860295861050768,1483616.5,191.48575528289058,223.7944862375921,543671.714327109,0.04307550854501651
pv_2000kW,sw-axis3pv-pv2000kw-2250305b,"all models terminated successfully, the simulation has been terminated",2.0,273283601.1321616,259588796.50336543,13694804.628796116,102879.74991693061,0.0,318407696.2185152,135994.48447180883,0.0,243878834.74781516,86308.57682467566,124214.76911783293,22824.674381326862,9129.869752530745,1407901.974948855,110062.54837098638,1483616.5,937900.0268721092,445902.66738640756,115677.99259971637,1010.0,0.0,0.0,1.0,785707.3296760308,1.0,0.07418530891978242,55.80696267611766,0.6037745455426097,1483616.5,184.20097183615957,214.61590392026187,446658.4179380495,0.04423841533149255
pv_5000kW,sw-axis3pv-pv5000kw-2933a303,"all models terminated successfully, the simulation has been terminated",5.0,243386530.08892915,235910093.44367403,7476436.645255072,89627.95396989252,0.0,280898143.38398105,116298.33339229552,0.0,223519872.81890526,78046.15301557799,95630.45094179294,12460.727742091785,4984.291096836718,1265289.572836559,275156.3709274653,1483616.5,895458.3162807389,424796.7803759279,100865.47072966222,928.0,0.0,0.0,1.0,697859.0357426298,1.0,0.18546327229945564,55.15409679526175,0.6558402435333492,1483616.5,164.04948993822134,189.3333913339337,143942.0050261422,0.04643638631112868
