label,sim_id,final_status,season,month_label,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
winter,sw-axis6seasonal-win-3aab619b,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,283488815.5225916,268628337.70474374,14860477.817847665,106267.69610613653,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24767.463029746108,9906.985211898438,1459350.815825912,55031.27418549319,1483616.5,963285.7455276259,458392.8702344648,126031.17068084014,1015.0,0.0,0.0,1.0,816220.8247991828,1.0,0.03709265445989121,55.9304052149549,0.5872488604600151,1483616.5,191.07957853164316,223.7944862375921,626775.5417316722,0.04303301529792675
spring,sw-axis6seasonal-spr-3aa748be,"all models terminated successfully, the simulation has been terminated",spring,Apr–May,196280513.5075372,195521322.56180137,759190.9457357189,74029.53873933567,0.0,219127150.61266777,88201.71335419522,0.0,207912732.3059112,80725.4344830242,18690.6971779271,1265.3182428928649,506.127297157146,1273554.9383788866,270135.7049384514,1484565.25,831899.030414909,393694.72082420887,25098.427779244652,854.0,0.0,0.0,1.0,783855.6779972861,1.0,0.1819628372268928,61.54863479977231,0.7099663574475675,1484565.25,132.21413710683123,147.60358334715687,-443147.2613788163,0.05010488166049925
summer,sw-axis6seasonal-sum-f1d69d31,"all models terminated successfully, the simulation has been terminated",summer,Jul–Aug,189252920.23985055,189252920.23985055,0.0,82756.35725090296,0.0,209464505.8625689,95552.75212291323,0.0,206319784.38704884,93456.27113923323,5241.202459200071,0.0,0.0,1260655.5061909487,281158.49588807224,1483493.5,796472.626688472,376910.61938003317,10112.158090575953,791.0,0.0,19.915620224061424,1.0,776519.6365065834,1.0,0.18952458901105548,61.59649743273844,0.7129644534301334,1483493.5,127.57246340469341,141.19678034488788,-507772.9842247639,0.05233608814128643
autumn,sw-axis6seasonal-aut-87d529ad,"all models terminated successfully, the simulation has been terminated",autumn,Oct–Nov,363796678.0610423,327917314.5102808,35879363.55076157,147343.34321583022,0.0,434314868.0750501,205681.89651347668,0.0,291404098.6277719,110408.05021529105,238184.61574546553,59798.93925126929,23919.575700507736,1382981.0728794192,71725.47923345387,1484832.5,954141.6324417932,465997.99406469247,190865.72634031787,1012.0,0.0,0.0,1.0,678346.1474761727,1.0,0.0483054346085864,49.049561181906135,0.5051557173685426,1484832.5,245.00856363330027,292.5009171573562,1631519.2415249313,0.0423307131114427
