label,sim_id,final_status,seed,variant,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
mpc_seed42,sw-axis9seed-mpcseed-7ae65f23,"all models terminated successfully, the simulation has been terminated",42,mpc,283112684.8284364,268244541.69175693,14868143.136679322,106205.20192910734,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24780.2385611322,9912.095424452877,1457391.0350807328,55031.27418549319,1483616.5,947077.5446371888,451066.8867102936,126538.87773534193,984.0,0.0,0.0,1.0,815682.125670854,1.0,0.03709265445989121,55.96865261529956,0.5868857618234545,1483616.5,190.82605567438512,223.7944862375921,629711.1361719638,0.0437319341730569
static_seed42,sw-axis9seed-statics-3ee5cbd6,"all models terminated successfully, the simulation has been terminated",42,static,281471494.3369617,267272257.0518653,14199237.28509638,104530.89468750838,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,23665.395475160625,9466.158190064249,1456088.25814691,55031.27418549319,1483616.5,950519.2939648156,454080.82518283324,129202.42757654747,0.0,0.0,0.0,1.0,818387.5442047855,1.0,0.03709265445989121,56.204528786346096,0.5887092913770363,1483616.5,189.71984629246285,223.7944862375921,708359.8561556177,0.043441665675527465
mpc_seed7,sw-axis9seed-mpcseed-688825e7,"all models terminated successfully, the simulation has been terminated",7,mpc,283309476.52570426,269052478.9077498,14256997.617955,106183.80983002213,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,23761.662696591662,9504.665078636659,1459926.4643306925,55031.27418549319,1483616.5,979810.9927915854,466291.9256647717,124389.99711498195,1014.0,0.0,0.0,1.0,815393.3161454259,1.0,0.03709265445989121,55.85167034555026,0.5866910959341037,1483616.5,190.95869891289578,223.7944862375921,630716.006227479,0.04230402953930149
static_seed7,sw-axis9seed-statics-410e8361,"all models terminated successfully, the simulation has been terminated",7,static,282199427.43822134,267177052.41240606,15022375.025815252,105213.65949140362,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25037.29170969209,10014.916683876832,1456532.4228775143,55031.27418549319,1483616.5,974563.5107051858,464912.2267015333,126936.66317605146,0.0,0.0,0.0,1.0,817721.797362207,1.0,0.03709265445989121,56.14168174483353,0.5882605589434333,1483616.5,190.21049404493772,223.7944862375921,676287.7390781277,0.04242957329217347
mpc_seed123,sw-axis9seed-mpcseed-d5740a30,"all models terminated successfully, the simulation has been terminated",123,mpc,283955818.35557634,267992776.5965733,15963041.75900273,106796.34775599184,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,26605.069598337894,10642.027839335155,1456083.813785873,55031.27418549319,1483616.5,951288.813078038,452785.21326365985,122165.3640690248,986.0,0.0,0.0,1.0,815090.5585040529,1.0,0.03709265445989121,55.97827204635883,0.5864870286152427,1483616.5,191.3943518123291,223.7944862375921,601942.7186121474,0.04356597083874663
static_seed123,sw-axis9seed-statics-71112750,"all models terminated successfully, the simulation has been terminated",123,static,281996428.6063535,267303922.79024905,14692505.816103816,105173.91452715095,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24487.509693506367,9795.003877402542,1457258.4112132527,55031.27418549319,1483616.5,959043.5051939079,457138.17067418544,126957.85858272549,0.0,0.0,0.0,1.0,818630.2036101902,1.0,0.03709265445989121,56.17604930676864,0.5888728507641182,1483616.5,190.07366701998362,223.7944862375921,678154.714557063,0.043151127301770516
mpc_seed2024,sw-axis9seed-mpcseed-b795f659,"all models terminated successfully, the simulation has been terminated",2024,mpc,283598243.43742245,268569069.4793805,15029173.958042229,106583.8501909947,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25048.62326340372,10019.449305361484,1457828.4514978544,55031.27418549319,1483616.5,966188.055223377,460080.78733958607,124008.12465720157,1045.0,0.0,0.0,1.0,814951.5285252525,1.0,0.03709265445989121,55.90174397323126,0.5863933184288161,1483616.5,191.15333607938604,223.7944862375921,611924.5553213452,0.042875138323697215
static_seed2024,sw-axis9seed-statics-ed58c85b,"all models terminated successfully, the simulation has been terminated",2024,static,281175130.64478433,267229171.64942214,13945958.99536219,104406.04732610955,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,23243.26499227031,9297.305996908122,1456818.934559031,55031.27418549319,1483616.5,951379.575278712,453812.4358696484,128214.92128345673,0.0,0.0,0.0,1.0,818523.5879985068,1.0,0.03709265445989121,56.18567747722666,0.5888009887892188,1483616.5,189.52008867843162,223.7944862375921,714224.422062875,0.043467357520643866
mpc_seed99,sw-axis9seed-mpcseed-a6173e4c,"all models terminated successfully, the simulation has been terminated",99,mpc,283729237.01210237,268165195.92590412,15564041.08619815,106695.87483802407,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25940.068476996912,10376.02739079876,1457786.0004127312,55031.27418549319,1483616.5,950484.2497525039,451934.40651856933,122613.38778708485,997.0,0.0,0.0,1.0,815913.8345788971,1.0,0.03709265445989121,55.96938332155021,0.5870419402617795,1483616.5,191.24162949933648,223.7944862375921,606662.3221561426,0.043647987656478114
static_seed99,sw-axis9seed-statics-76a8530e,"all models terminated successfully, the simulation has been terminated",99,static,281945109.5178638,266737323.8429753,15207785.674888544,105075.11409758388,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25346.30945814757,10138.523783259025,1456217.7240056808,55031.27418549319,1483616.5,949001.3396851483,452395.3111178586,125247.0066958437,0.0,0.0,0.0,1.0,818982.6909237071,1.0,0.03709265445989121,56.24040124102433,0.5891104373058673,1483616.5,190.03907648497022,223.7944862375921,682795.7548191025,0.04360351867599535
