label,sim_id,final_status,w_soc_low,weight_label,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
soc1e+06_cost_only,sw-axis10socbase-soc-6e2df385,"all models terminated successfully, the simulation has been terminated",1000000.0,cost_only,285172766.06067276,270215179.1922642,14957586.86840847,107167.8893263722,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24929.311447347445,9971.724578938974,1464415.1589034603,55031.27418549319,1483616.5,1076269.9969027636,512704.20223430626,126678.05381278071,1034.0,0.0,0.0,1.0,815246.0387406948,1.0,0.03709265445989121,55.670417899193495,0.586591826746459,1483616.5,192.21460940928654,223.7944862375921,584489.9666887751,0.03847447965375845
soc1e+06_carbon_only,sw-axis10socbase-soc-7a26f9f6,"all models terminated successfully, the simulation has been terminated",1000000.0,carbon_only,284164439.2128419,267705491.0094517,16458948.203389786,108038.36035678608,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27431.580338982993,10972.632135593192,1455144.0976699183,55031.27418549319,1483616.5,959956.3380269485,457285.7075622464,121894.03575838337,977.0,0.0,0.0,1.0,814579.7496045522,1.0,0.03709265445989121,55.979318536831926,0.5861427287914669,1483616.5,191.53496824337148,223.7944862375921,543600.5584464002,0.04313720518932934
soc100_cost_only,sw-axis10socbase-soc-438ea769,"all models terminated successfully, the simulation has been terminated",100.0,cost_only,285232979.6120852,269912202.34668744,15320777.265398195,107361.90919844797,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25534.62877566365,10213.851510265456,1463712.6482817407,55031.27418549319,1483616.5,1076949.7885067607,513111.5506007787,126453.94671721225,1026.0,0.0,0.0,1.0,815562.6893966497,1.0,0.03709265445989121,55.7187703716329,0.586805258354934,1483616.5,192.25519506697668,223.7944862375921,575376.0990478639,0.03844393558118888
soc100_carbon_only,sw-axis10socbase-soc-d593722b,"all models terminated successfully, the simulation has been terminated",100.0,carbon_only,284110793.4322219,267672569.32694578,16438224.105276726,107963.34148469097,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27397.04017546123,10958.816070184486,1455379.9064057248,55031.27418549319,1483616.5,962085.9190391393,458288.66127032106,122478.49453920755,1002.0,0.0,0.0,1.0,814795.155723859,1.0,0.03709265445989121,55.98504913649081,0.5862879186834011,1483616.5,191.49880945124423,223.7944862375921,547124.4865035134,0.04304280045371862
soc0_cost_only,sw-axis10socbase-soc-de494db5,"all models terminated successfully, the simulation has been terminated",0.0,cost_only,282365343.2557053,265802674.59511074,16562668.66059462,104108.58030060843,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27604.447767657715,11041.779107063077,1459422.0371284713,55031.27418549319,1483616.5,1143792.4357731424,547726.323356649,128167.31496993326,974.0,0.0,0.0,1.0,823052.901909496,1.0,0.03709265445989121,56.3958115590003,0.5918538760488234,1483616.5,190.32232605643392,223.7944862375921,728197.6046495219,0.036014386302218634
soc0_carbon_only,sw-axis10socbase-soc-0677ffe4,"all models terminated successfully, the simulation has been terminated",0.0,carbon_only,278751804.7737605,260686867.53990164,18064937.23385853,105738.01851507438,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,30108.22872309756,12043.29148923902,1452147.8290927645,55031.27418549319,1483616.5,1076730.8574256424,516410.1993608925,122944.19254346927,969.0,0.0,0.0,1.0,829925.0473065902,1.0,0.03709265445989121,57.15155376605765,0.5964858988101598,1483616.5,187.88669765654433,223.7944862375921,651656.5572980148,0.03819836909045007
